No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
3572,9,A,Quercus alba,0.065,Low,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,20.85,26.83,4.75,24.39,15.84,16,56.0,1.0,0,0
3615,9,C,Quercus alba,0.077,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,14.72,31.23,4.77,23.68,16.2,16,56.0,1.0,0,0
3754,9,D,Prunus serotina,0.073,Low,2016,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,2018-06-07,30.16,0.0,0.55,4.97,6.92,16,56.0,1.0,0,0
3786,9,B,Acer saccharum,0.074,Low,2017,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-08,18.47,0.0,-0.63,13.61,11.92,16,56.0,1.0,0,0
3876,9,B,Quercus rubra,0.074,Low,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,2018-06-07,12.2,3.38,2.77,25.3,11.44,16,56.0,1.0,0,0
7653,18,B,Quercus rubra,0.138,High,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,15.58,34.74,3.67,22.96,16.83,33,115.5,0.0,0,1
3889,10,A,Prunus serotina,0.051,Low,2017,Prunus serotina,0,Non-Sterile,Conspecific,AMF,AMF,2018-06-08,28.58,0.0,0.25,5.08,5.92,16,56.0,1.0,0,0
3942,10,C,Prunus serotina,0.075,Low,2017,Prunus serotina,0,Non-Sterile,Conspecific,AMF,AMF,2018-06-08,34.64,0.0,0.44,5.21,7.11,16,56.0,1.0,0,0
7658,18,B,Quercus alba,0.138,High,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,11.09,41.13,5.57,21.1,19.24,20,70.0,1.0,0,0
3950,10,A,Prunus serotina,0.051,Low,2016,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,2018-06-08,38.84,0.0,0.48,4.9,6.55,16,56.0,1.0,0,0
4090,10,A,Prunus serotina,0.051,Low,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,30.59,0.0,0.57,5.25,6.99,16,56.0,1.0,0,0
4387,11,C,Prunus serotina,0.055,Low,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,2018-06-07,40.23,0.0,0.44,5.16,6.35,16,56.0,1.0,0,0
4487,11,A,Quercus alba,0.068,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,19.0,33.28,4.85,25.21,15.67,16,56.0,1.0,0,0
4520,11,A,Acer saccharum,0.068,Low,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,2018-06-07,5.14,0.0,-0.21,9.36,9.89,16,56.0,1.0,0,0
4745,11,D,Acer saccharum,0.05,Low,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,2018-06-07,6.16,0.0,-0.48,9.08,9.54,16,56.0,1.0,0,0
7692,18,B,Quercus rubra,0.138,High,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,2018-06-07,18.91,11.16,3.86,23.6,16.51,33,115.5,0.0,0,1
7693,18,B,Quercus rubra,0.138,High,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,15.58,34.74,3.67,22.96,16.83,33,115.5,0.0,0,1
5269,13,C,Prunus serotina,0.087,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,38.92,0.0,0.7,8.13,11.62,16,56.0,1.0,0,0
5444,13,B,Prunus serotina,0.093,Med,2017,Prunus serotina,0,Non-Sterile,Conspecific,AMF,AMF,2018-06-07,22.16,0.0,0.19,10.53,13.99,16,56.0,1.0,0,0
5455,13,B,Prunus serotina,0.093,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,AMF,AMF,2018-06-07,39.73,0.0,0.7,10.32,13.73,16,56.0,1.0,0,0
5510,13,B,Prunus serotina,0.093,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,33.75,0.0,0.58,9.55,11.72,16,56.0,1.0,0,0
5599,13,B,Prunus serotina,0.093,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,33.75,0.0,0.58,9.55,11.72,16,56.0,1.0,0,0
5831,14,C,Prunus serotina,0.053,Low,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,29.53,0.0,0.75,5.97,10.02,16,56.0,1.0,0,0
6086,15,A,Prunus serotina,0.087,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,36.65,0.0,0.71,10.43,13.72,16,56.0,1.0,0,0
6109,15,A,Quercus alba,0.087,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,21.02,35.22,5.31,20.46,19.21,16,56.0,1.0,0,0
6325,15,B,Quercus alba,0.11,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,16.55,34.62,5.34,20.81,19.03,16,56.0,1.0,0,0
7742,18,B,Quercus alba,0.138,High,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,16.72,37.01,5.22,20.17,20.75,33,115.5,0.0,0,1
6463,15,B,Quercus rubra,0.11,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.8,27.82,3.44,24.51,15.39,16,56.0,1.0,0,0
6950,17,A,Acer saccharum,0.095,Med,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,2018-06-07,6.89,0.0,0.06,12.47,12.37,16,56.0,1.0,0,0
6970,17,A,Prunus serotina,0.095,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,35.08,0.0,0.67,10.58,13.73,16,56.0,1.0,0,0
6975,17,A,Quercus alba,0.095,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,15.59,32.89,5.24,21.07,18.27,16,56.0,1.0,0,0
7759,18,B,Acer saccharum,0.138,High,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,13.82,0.0,0.05,13.85,12.46,18,63.0,1.0,0,0
7086,17,C,Quercus alba,0.122,High,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,10.89,39.0,5.53,21.44,18.99,16,56.0,1.0,0,0
